business_id,prioridad,puntaje,zona,nombre,rubro,ciudad,empleados,facturacion_usd,web,linkedin,instagram_buscar,biblioteca_anuncios,notas,descripcion
9e701f092fb3a4651de262c1375e7440,A,65,RM,Wild Brands,Moda / Retail,santiago,51-200,10M-25M,https://thewildbrands.com,https://www.linkedin.com/company/wild-brands,https://www.instagram.com/explore/search/keyword/?q=Wild%20Brands,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Wild%20Brands,,"Wild Brands es una empresa de retail que participa en el mundo de los textiles y de la alimentacion saludable. Wild Brands Retail opera bajo sus marcas Wrap y Wild Lama, mientras que Wild Foods opera bajo sus marcas Soul Bar, Way Bar y Wild Protein. Con fuerte participacion en el mercado Chileno, Wi"
3685ef21c4d2387a041ce35c93984b80,A,65,RM,Froens,Moda / Retail,santiago,51-200,10M-25M,https://froens.cl,https://www.linkedin.com/company/froens,https://www.instagram.com/explore/search/keyword/?q=Froens,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Froens,,"Somos 3 amigos que desde chicos compartimos los mismos gustos y pasiones, amantes del deporte, la vida al aire libre y los dias de playa. Queremos demostrar que la vida puede ser mas relajada, buscamos inspirar y motivar a la gente a romper su rutina y disfrutar el dia a dia. A traves del tiempo hem"
f528ac131d0c2959f948444523b41025,A,65,RM,Wizz,Odontología,santiago,51-200,10M-25M,https://wizz.life,https://www.linkedin.com/company/wizz-life,https://www.instagram.com/explore/search/keyword/?q=Wizz,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Wizz,,"Con 17 clinicas distribuidas en Chile, Colombia y Mexico, Wizz es la clinica de ortodoncia invisible #1 en America Latina. Somos una healthtech de alto crecimiento que busca transformar sonrisas y personas con nuestros alineadores invisibles, fabricados a base de tecnologia 3D. Mas de 18.000 pacient"
8d6e8411945395804e3338d2a656d13d,A,65,RM,Cardinale S.A.,Moda / Retail,santiago,51-200,10M-25M,https://cardinale.cl,https://www.linkedin.com/company/cardinale-s.a.,https://www.instagram.com/explore/search/keyword/?q=Cardinale%20S.A.,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Cardinale%20S.A.,,"Grupo Cardinale, empresa lider en la industria del calzado de hombre y mujer compuesta por las marcas Cardinale, Bullboxer Shoes, Carmela Shoes y La Zapateria Concept Store, especialistas en ventas mayoristas, minoristas ,online de zapatos y accesorios. Cardinale, zapateros desde 1964, especialistas"
1769e23dd9e8646e086f46b93a48c324,A,65,RM,Empresa en Movimiento,Fitness / Wellness / Estética,providencia,51-200,10M-25M,https://empresaenmovimiento.com,https://www.linkedin.com/company/empresa-en-movimiento,https://www.instagram.com/explore/search/keyword/?q=Empresa%20en%20Movimiento,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Empresa%20en%20Movimiento,,"Nos especializamos en crear experiencias de alto valor, personalizadas y centradas en las personas, que transforman la cultura organizacional y mejoran el bienestar diario de los colaboradores.  Si buscas soluciones eficientes, humanas y adaptadas a las necesidades de tu empresa, estamos aqui para a"
8949770961821389c06fce3a4f3eef3e,A,65,RM,Terapia Online,Fitness / Wellness / Estética,santiago,51-200,10M-25M,https://terapiaonline.cl,https://www.linkedin.com/company/terapiaonline-cl,https://www.instagram.com/explore/search/keyword/?q=Terapia%20Online,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Terapia%20Online,,"Servicio de atencion Psicologica y otras especialidades de Salud Mental por telemedicina desde cualquier lugar del mundo. Somos parte de Centro de Terapia del Comportamiento, institucion de Salud Mental con mas de 40 anos de experiencia."
005e986abdaf799f66a46f916546467d,A,65,RM,ECR® Salud,Fitness / Wellness / Estética,santiago,51-200,10M-25M,https://ecrsalud.cl,https://www.linkedin.com/company/ecr-salud,https://www.instagram.com/explore/search/keyword/?q=ECR%C2%AE%20Salud,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=ECR%C2%AE%20Salud,,"En ECR Salud somos una empresa especializada en entregar soluciones integrales para el sector salud, combinando talento humano, gestion clinica y programas de bienestar con una mirada innovadora y flexible. Acompanamos a instituciones de salud, empresas y organizaciones a asegurar la continuidad ope"
60df200427aa007416c594fa72ee62c5,A,65,RM,Miniclinic SpA,Fitness / Wellness / Estética,las condes,51-200,10M-25M,https://miniclinic.cl,https://www.linkedin.com/company/miniclinic-s.a.,https://www.instagram.com/explore/search/keyword/?q=Miniclinic%20SpA,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Miniclinic%20SpA,,"Somos los creadores de una innovadora forma de atencion en salud: de manera cercana, de calidad y a un precio justo. Miniclinic es una cadena de consultas de atencion medica primara, ubicadas en lugares de conveniencia junto a grandes supermercados y centros comerciales. Nuestros medicos tienen el c"
9a97e5946fd357b3f4e553a721f9765e,A,65,RM,Lineatre C.Giovo,Moda / Retail,quilicura,51-200,10M-25M,https://lineatre.cl,https://www.linkedin.com/company/lineatre-c-giovo,https://www.instagram.com/explore/search/keyword/?q=Lineatre%20C.Giovo,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=Lineatre%20C.Giovo,,Lineatre es una marca de moda/retail que se enfoca en prendas de calidad traidas directamente desde Italia. Al momento con mas de 16 tiendas en todo Chile esta marca con cerca de 30 anos de historia se acompana de dos tiendas hermanas. Una de ellas es Leidiro que se preocupa de traer ropa exclusiva 
e17d5b421ce9dcb324186b9b0cf3091d,A,65,RM,+MUND,Fitness / Wellness / Estética,vitacura,51-200,10M-25M,https://masmund.cl,https://www.linkedin.com/company/masmund,https://www.instagram.com/explore/search/keyword/?q=%2BMUND,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CL&q=%2BMUND,,"+Mund es un espacio integral de bienestar que nace de la fusion del clasico Spa Mund y la innovacion de +Relax. Somos un equipo que cree en el poder del autocuidado consciente, en el valor de la pausa y en la importancia de crear experiencias que conecten cuerpo, mente y alma. La transformacion de +"
